,pyname,name,range
177,a_scene_lfo_5_type,A Scene LFO 5 Type,"(None, None, None)"
178,b_lfo_6_decay,B LFO 6 Decay,"(None, None, None)"
179,a_scene_lfo_4_trigger_mode,A Scene LFO 4 Trigger Mode,"(None, None, None)"
180,fx_g1_param_11,FX G1 Param 11,"(None, None, None)"
181,fx_a1_param_5,FX A1 Param 5,"(None, None, None)"
182,b_scene_lfo_6_phase,B Scene LFO 6 Phase,"(0.0, 100.0, 0.1)"
183,b_osc_2_shape,B Osc 2 Shape,"(-100.0, 100.0, 0.2)"
184,a_pan,A Pan,"(None, None, None)"
185,a_filter_2_keytrack,A Filter 2 Keytrack,"(-100.0, 100.0, 0.2)"
186,a_lfo_6_type,A LFO 6 Type,"(None, None, None)"
187,fx_b2_param_11,FX B2 Param 11,"(None, None, None)"
188,a_scene_lfo_4_delay,A Scene LFO 4 Delay,"(None, None, None)"
189,global_volume,Global Volume,"(-48.0, 0.0, None)"
190,b_osc_1_width_1,B Osc 1 Width 1,"(0.0, 100.0, 0.1)"
191,b_lfo_2_type,B LFO 2 Type,"(None, None, None)"
192,b_lfo_5_trigger_mode,B LFO 5 Trigger Mode,"(None, None, None)"
193,b_scene_lfo_4_release,B Scene LFO 4 Release,"(None, None, None)"
194,a_filter_1_subtype,A Filter 1 Subtype,"(None, None, None)"
195,fx_a2_param_9,FX A2 Param 9,"(None, None, None)"
196,fx_s4_param_6,FX S4 Param 6,"(None, None, None)"
197,a_osc_3_width_2,A Osc 3 Width 2,"(0.0, 100.0, 0.1)"
198,b_osc_1_type,B Osc 1 Type,"(None, None, None)"
199,b_scene_lfo_3_delay,B Scene LFO 3 Delay,"(None, None, None)"
200,fx_a4_param_8,FX A4 Param 8,"(None, None, None)"
201,fx_a1_param_2,FX A1 Param 2,"(None, None, None)"
202,fx_g3_param_2,FX G3 Param 2,"(None, None, None)"
203,a_scene_lfo_2_unipolar,A Scene LFO 2 Unipolar,"(False, True, 1)"
204,b_scene_lfo_5_rate,B Scene LFO 5 Rate,"(0.008, 512.0, None)"
205,fx_g3_param_8,FX G3 Param 8,"(None, None, None)"
206,a_lfo_4_attack,A LFO 4 Attack,"(None, None, None)"
207,a_osc_3_type,A Osc 3 Type,"(None, None, None)"
208,b_lfo_2_hold,B LFO 2 Hold,"(None, None, None)"
209,b_lfo_6_delay,B LFO 6 Delay,"(None, None, None)"
210,b_osc_2_sync,B Osc 2 Sync,"(None, None, None)"
211,b_osc_2_unison_voices,B Osc 2 Unison Voices,"(None, None, None)"
212,b_pitch,B Pitch,"(None, None, None)"
213,b_amp_eg_envelope_mode,B Amp EG Envelope Mode,"(None, None, None)"
214,a_lfo_2_deform,A LFO 2 Deform,"(-100.0, 100.0, 0.2)"
215,fx_s4_param_3,FX S4 Param 3,"(None, None, None)"
216,b_scene_lfo_6_trigger_mode,B Scene LFO 6 Trigger Mode,"(None, None, None)"
217,fx_b4_param_1,FX B4 Param 1,"(None, None, None)"
218,b_filter_1_keytrack,B Filter 1 Keytrack,"(-100.0, 100.0, 0.2)"
219,a_lfo_4_phase,A LFO 4 Phase,"(0.0, 100.0, 0.1)"
220,b_osc_3_keytrack,B Osc 3 Keytrack,"(False, True, 1)"
221,fx_b4_param_11,FX B4 Param 11,"(None, None, None)"
222,fx_b4_param_3,FX B4 Param 3,"(None, None, None)"
223,fx_a3_param_3,FX A3 Param 3,"(None, None, None)"
224,b_lfo_1_decay,B LFO 1 Decay,"(None, None, None)"
225,fx_b3_fx_type,FX B3 FX Type,"(None, None, None)"
226,fx_a3_param_12,FX A3 Param 12,"(None, None, None)"
