,pyname,name,range
749,fx_s1_param_3,FX S1 Param 3,"(None, None, None)"
750,a_lfo_1_rate,A LFO 1 Rate,"(0.008, 512.0, None)"
751,a_osc_2_unison_detune,A Osc 2 Unison Detune,"(None, None, None)"
752,b_filter_eg_attack,B Filter EG Attack,"(None, None, None)"
753,bypass_surge_xt,Bypass Surge XT,"(None, None, None)"
754,fx_g2_param_6,FX G2 Param 6,"(None, None, None)"
755,fx_g4_fx_type,FX G4 FX Type,"(None, None, None)"
756,b_osc_3_mute,B Osc 3 Mute,"(False, True, 1)"
757,a_scene_lfo_5_amplitude,A Scene LFO 5 Amplitude,"(0.0, 100.0, 0.1)"
758,b_lfo_1_release,B LFO 1 Release,"(None, None, None)"
759,fx_b2_param_7,FX B2 Param 7,"(None, None, None)"
760,fx_g2_param_4,FX G2 Param 4,"(None, None, None)"
761,fx_s2_param_2,FX S2 Param 2,"(None, None, None)"
762,fx_b1_param_2,FX B1 Param 2,"(None, None, None)"
763,b_lfo_2_decay,B LFO 2 Decay,"(None, None, None)"
764,b_lfo_5_delay,B LFO 5 Delay,"(None, None, None)"
765,b_scene_lfo_5_release,B Scene LFO 5 Release,"(None, None, None)"
766,a_noise_volume,A Noise Volume,"(-inf, 0.0, None)"
767,a_ring_modulation_2x3_route,A Ring Modulation 2x3 Route,"(None, None, None)"
768,a_scene_lfo_5_release,A Scene LFO 5 Release,"(None, None, None)"
769,a_lfo_5_delay,A LFO 5 Delay,"(None, None, None)"
770,b_lfo_6_type,B LFO 6 Type,"(None, None, None)"
771,b_scene_lfo_4_attack,B Scene LFO 4 Attack,"(None, None, None)"
772,a_osc_2_keytrack,A Osc 2 Keytrack,"(False, True, 1)"
773,fx_s3_param_10,FX S3 Param 10,"(None, None, None)"
774,fx_b1_param_9,FX B1 Param 9,"(None, None, None)"
